Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
La comunidad del anillo,J.R.R. Tolkien,Luis Domènech,9788445071403,paperback,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
La Tumba del Tirano / The Tyrant's Tomb,Rick Riordan,"",9788417773090,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
It,Stephen King,Edith Zilli,9788497593793,paperback,to-read,2021/05/09,"","",0,"",,,,,,,,,"",,"",No
Las pruebas,James Dashner,Noemí Risco Mateo (Translator),9788493920005,paperback,read,2021/05/03,2021/05/03,2021/05/03,1,"",,,,,,,3.0,,"",,"",No
La profecía oscura,Rick Riordan,"",9788490438381,digital,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
"White Sand, Volume 1","Brandon Sanderson, Rik Hoskin",Julius Gopez (Illustrator),9781606908853,hardcover,to-read,2025/02/12,"","",0,"",,,,,,,,,"",,"",No
Harry Potter y el Cáliz de Fuego,J.K. Rowling,"Adolfo Muñoz García (Translator), Nieves Martín Azofra (Translator)",9788478886647,paperback,read,2021/05/03,2021/05/14,2021/05/14,1,"",,,,,,,3.0,,"",,"",No
Asesinato en el Orient Express,Agatha Christie,"","",audio,read,2022/03/23,2023/03/17,2023/03/17,1,"",,,,,,,4.0,,"",,"",No
Percy Jackson Y Los Dioses Griegos / Percy Jackson's Greek Gods,Rick Riordan,"",9788498387131,paperback,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Brazales de duelo,Brandon Sanderson,Manuel de los Reyes (Translator),9788490708750,paperback,read,2024/05/25,2024/09/07,2024/09/07,1,"",,,,,,,5.0,,"",,"",No
El héroe de las eras,Brandon Sanderson,Rafael Marín Trechera,9788466643825,hardcover,read,2024/05/09,2024/05/15,2024/05/15,1,"",,,,,,,5.0,,"",,"",No
Amanecer en la cosecha,Suzanne Collins,Pilar Ramírez Tello (Translator),9788427248427,paperback,to-read,2025/04/02,"","",0,"",,,,,,,,,"",,"",No
Nacidos de la bruma: Historia secreta,"Manu Viciano, Brandon Sanderson",Brandon Sanderson (Translator),,digital,read,2024/09/08,2024/09/17,2024/09/17,1,"",,,,,,,5.0,,"",,"",No
Percy Jackson Y Los Héroes Griegos,Rick Riordan,"",9788498388282,paperback,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
La cura mortal,James Dashner,Noemí Risco Mateo (Translator),9788493975036,paperback,read,2021/05/03,2021/05/03,2021/05/03,1,"",,,,,,,3.0,,"",,"",No
Harry Potter y la piedra filosofal,J.K. Rowling,"Alicia Dellepiane Rawson (Translator), Dolores Avendaño (Illustrator)",9788478886548,paperback,read,2021/05/03,2021/05/03,2021/05/03,1,"",,,,,,,2.0,,"",,"",No
El instituto,Stephen King,Carlos Milla Soler (Translator),9788401022357,hardcover,read,2021/05/03,2021/05/03,2021/05/03,1,"",,,,,,,4.0,,"",,"",No
22/11/63,Stephen King,"",9786073135290,paperback,to-read,2021/05/11,"","",0,"",,,,,,,,,"",,"",No
Soy leyenda,Richard Matheson,Manuel Figueroa,9788445074336,paperback,to-read,2021/05/03,"","",0,"",,,,,,,,,"",,"",No
Six of Crows,Leigh Bardugo,"",9781627792127,hardcover,to-read,2025/04/21,"","",0,"",,,,,,,,,"",,"",No
La Sombra de la Serpiente,Rick Riordan,"",9788484418900,hardcover,to-read,2021/06/01,"","",0,"",,,,,,,,,"",,"",No
Children of Dune,Frank Herbert,"",9780593098240,paperback,to-read,2022/01/06,"","",0,"",,,,,,,,,"",,"",No
El corredor del laberinto,James Dashner,Noemí Risco Mateo (Translator),9788493801311,paperback,read,2021/05/03,2021/02/04,2021/02/04,2,"",,,,,,,3.0,,"",,"",No
Se anuncia un asesinato,Agatha Christie,"",,,read,2025/03/05,2025/04/03,2025/03/05-2025/04/03,1,"",,"","","","","",2.0,,"","","",No
El retorno del Rey,J.R.R. Tolkien,"",9788445075753,paperback,to-read,2021/08/17,"","",0,"",,,,,,,,,"",,"",No
